year	a	b	c	d	e	f	g	h	Community	gdp
2009-10   Q1	2347.56	354.98	2103.47	276.27	1163.84	3376.72	2272.11	1842.51	13737.45
2009-10   Q2	2006.53	352.22	2239.23	286.10	1200.47	3554.70	2353.54	2243.06	14235.84
2009-10   Q3	3393.35	410.18	2319.33	282.53	1256.97	3776.93	2441.68	2267.46	16148.43
2009-10   Q4	3087.71	475.66	2559.47	293.94	1383.30	4107.88	2582.04	2477.31	16967.31
2010-11   Q1	2816.16	455.81	2506.93	321.93	1401.99	4158.17	2763.62	2155.62	16580.21
2010-11   Q2	2395.95	448.42	2578.68	322.71	1397.95	4241.05	2836.77	2577.38	16798.91
2010-11   Q3	4205.40	507.53	2710.45	326.20	1495.75	4459.48	2949.23	2464.49	19118.53
2010-11   Q4	3651.92	549.16	3011.45	339.24	1658.85	4888.38	3109.39	2963.63	20172.02
2011-12   Q1	3324.89	461.69	2922.16	351.23	1596.14	5066.81	3303.40	2434.60	19460.92
2011-12   Q2	2745.39	431.39	2897.20	356.09	1635.48	5049.93	3408.87	2996.09	19520.44
2011-12   Q3	4671.01	505.44	2975.98	367.94	1744.63	5291.52	3499.04	2855.76	21911.32
2011-12   Q4	3916.24	612.24	3225.51	372.92	1875.80	5617.32	3633.49	3388.74	22642.27
2012-13   Q1	3792.21	523.28	3045.05	404.93	1837.95	5752.45	3883.05	2878.26	22117.19
2012-13   Q2	3070.17	489.33	3080.04	428.31	1819.87	5869.98	3994.32	3530.86	22282.89
2012-13   Q3	5215.90	553.98	3216.97	435.26	1926.25	6044.79	4064.00	3270.70	24727.85
2012-13   Q4	4370.06	622.50	3457.61	433.87	2089.80	6432.43	4232.60	3843.32	25482.20
2013-14   Q1	4217.68	501.44	3104.63	514.13	1978.72	6253.23	4438.77	3370.38	24378.98
2013-14   Q2	3706.00	496.32	3178.16	521.17	2014.63	6470.18	4685.50	3980.53	25052.49
